v2_rank,source_occupation_code,source_occupation_name,target_occupation_code,target_occupation_name,candidate_pool_source,v1_skill_similarity_rank,skill_similarity,transferable_skill_coverage,target_skill_gap,related_support,related_tier,related_index,source_job_zone,target_job_zone,job_zone_difference,source_modal_education,target_modal_education,target_master_plus_share,target_doctoral_professional_share,education_barrier,education_barrier_notes,source_related_work_experience,target_related_work_experience,target_on_the_job_training,training_experience_barrier,training_experience_barrier_notes,credential_barrier,professional_certification_importance,apprenticeship_importance,shared_top_skills,missing_skills,feasibility_flag,feasibility_level,feasibility_notes,same_major_group,same_occupation_family,onet_related_support,taxonomy_distance_level,taiwanjobs_occupation,matched_titles,mapping_method,mapping_score,mapping_confidence,manual_review_needed,matched_job_count,total_demand_persons,salary_lower_median,salary_upper_median,salary_basis,education_requirement_distribution,experience_requirement_distribution,main_job_locations,market_validation,mobility_value_signal,hidden_path_candidate
11,29-1141.00,Registered Nurses,29-1141.04,Clinical Nurse Specialists,onet_related_occupation; skill_similarity_top20,11,0.991224,0.920561,0.300937,yes,Primary-Short,4,4,5,1,Bachelor's Degree,Master's Degree,99.99,9.52,high,weighted education category +3.2; master's-or-higher share 100.0%; professional certification importance 4.86,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years","Over 1 month, up to and including 3 months",low,related work experience +1.4 categories,high,4.86,3.52,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.29); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Education and Training (knowledge: target 4.43, RN 3.20)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible.",yes,yes,yes,Same / very close,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,Medium,yes,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1,Moderate,upward_or_credentialed_bridge:similar_salary; job_zone_diff 1,no
12,29-1141.00,Registered Nurses,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",focus_check; skill_similarity_top20,14,0.99091,0.921485,0.296806,no,,,4,5,1,Bachelor's Degree,Master's Degree,94.95,42.84,high,weighted education category +4.1; master's-or-higher share 95.0%; doctoral/professional/postdoctoral share 42.8%,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Over 1 year, up to and including 2 years",medium,related work experience +1.6 categories,low,3.64,2.0,Psychology (knowledge: 4.49); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.94); Judgment and Decision Making (transferable_skill: 3.88); Reading Comprehension (essential_skill: 3.88),"Education and Training (knowledge: target 4.54, RN 3.20); Biology (knowledge: target 4.12, RN 3.02); Computers and Electronics (knowledge: target 3.60, RN 2.59); Instructing (transferable_skill: target 4.25, RN 3.25)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible.",no,no,no,Distant category,護理師/護士,A013 護理人員,deterministic_keyword_field_weight_v1,0.64,Medium,yes,1,1,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:1,1年以上:1,台北市內湖區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,yes
13,29-1141.00,Registered Nurses,29-1071.00,Physician Assistants,onet_related_occupation; skill_similarity_top20,20,0.989846,0.915837,0.326556,yes,Primary-Long,9,4,5,1,Bachelor's Degree,Master's Degree,94.59,13.51,high,weighted education category +3.0; master's-or-higher share 94.6%; professional certification importance 4.76,"Over 1 year, up to and including 2 years",None,"Over 1 month, up to and including 3 months",low,no major upward training/experience signal,high,4.76,2.89,Psychology (knowledge: 4.57); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Customer and Personal Service (knowledge: 4.16); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00),"Biology (knowledge: target 4.81, RN 3.02); Therapy and Counseling (knowledge: target 4.50, RN 3.43); Computers and Electronics (knowledge: target 3.54, RN 2.59)",review,Bridge candidate,O*NET related support (Primary-Long) with manageable directional skill gap.,yes,no,yes,Adjacent category,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,0,0,,,monthly_only_no_matched_monthly_salary,,,,Unknown,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
14,29-1141.00,Registered Nurses,29-2043.00,Paramedics,onet_related_occupation,,0.987565,0.941972,0.210644,yes,Supplemental,11,4,3,-1,Bachelor's Degree,unknown,,,unknown,no O*NET required-level-of-education distribution available,"Over 1 year, up to and including 2 years",None,"Over 6 months, up to and including 1 year",low,no major upward training/experience signal,high,4.68,3.16,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.16); Customer and Personal Service (knowledge: 3.90); Service Orientation (transferable_skill: 3.88); Coordination (transferable_skill: 3.75); Social Perceptiveness (transferable_skill: 3.75); Critical Thinking (essential_skill: 3.75); Active Listening (essential_skill: 3.62),,review,Bridge candidate,O*NET related support (Supplemental) with manageable directional skill gap.,yes,no,yes,Adjacent category,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,0,0,,,monthly_only_no_matched_monthly_salary,,,,Unknown,possible_downward_or_low_value_mobility:unknown_salary; job_zone_diff -1,no
15,29-1141.00,Registered Nurses,29-1141.02,Advanced Practice Psychiatric Nurses,onet_related_occupation,,0.986117,0.893658,0.406098,yes,Primary-Long,7,4,5,1,Bachelor's Degree,Master's Degree,100.01,13.05,high,weighted education category +3.2; master's-or-higher share 100.0%; professional certification importance 4.91,"Over 1 year, up to and including 2 years","Over 1 year, up to and including 2 years","Over 6 months, up to and including 1 year",low,no major upward training/experience signal,high,4.91,3.18,Psychology (knowledge: 4.58); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Therapy and Counseling (knowledge: target 4.74, RN 3.43); Biology (knowledge: target 4.26, RN 3.02); Sociology and Anthropology (knowledge: target 4.09, RN 2.96)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible.",yes,yes,yes,Same / very close,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,Medium,yes,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1,Moderate,upward_or_credentialed_bridge:similar_salary; job_zone_diff 1,no
16,29-1141.00,Registered Nurses,29-1151.00,Nurse Anesthetists,onet_related_occupation,,0.984088,0.896406,0.390269,yes,Primary-Long,8,4,5,1,Bachelor's Degree,Doctoral Degree,100.0,59.26,high,weighted education category +4.6; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 59.3%; doctoral/professional occupation pattern; professional certification importance 4.93,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Anything beyond short demonstration, up to and including 1 month",low,no major upward training/experience signal,high,4.93,3.04,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Psychology (knowledge: 4.04); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Physics (knowledge: target 4.00, RN 1.60); Chemistry (knowledge: target 4.33, RN 2.60); Biology (knowledge: target 4.63, RN 3.02)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible.",yes,yes,yes,Same / very close,護理師/護士,護理師; A013 護理人員; 嬰兒室護理人員; 居服督導員; 護理師(適用臺北市政府社會局專業人員久任獎助計劃)-大龍養護中心,deterministic_keyword_field_weight_v1,1.0,Medium,yes,5,9,41500,60000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:4; 大學:1,無:4; 1年以上:1,台北市大同區:3; 台北市內湖區:1; 台北市中正區:1,Moderate,upward_or_credentialed_bridge:similar_salary; job_zone_diff 1,no
17,29-1141.00,Registered Nurses,29-1229.04,Physical Medicine and Rehabilitation Physicians,focus_check; skill_similarity_top20,8,0.992374,0.939361,0.230106,no,,,4,5,1,Bachelor's Degree,Doctoral Degree,99.19,99.19,high,weighted education category +6.2; master's-or-higher share 99.2%; doctoral/professional/postdoctoral share 99.2%; doctoral/professional occupation pattern; professional certification importance 4.92,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Over 2 years, up to and including 4 years",high,related work experience +1.1 categories; apprenticeship importance 4.33,high,4.92,4.33,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.12); Psychology (knowledge: 4.04); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Biology (knowledge: target 3.88, RN 3.02)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,no,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
18,29-1141.00,Registered Nurses,29-1229.06,Sports Medicine Physicians,focus_check; skill_similarity_top20,10,0.991456,0.909889,0.353927,no,,,4,5,1,Bachelor's Degree,Doctoral Degree,100.0,100.0,high,weighted education category +6.4; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.84,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years",None or short demonstration,medium,related work experience +1.2 categories; apprenticeship importance 4.19,high,4.84,4.19,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Psychology (knowledge: 4.06); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Active Listening (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.88),"Biology (knowledge: target 4.31, RN 3.02); Education and Training (knowledge: target 4.06, RN 3.20); Systems Evaluation (transferable_skill: target 3.75, RN 3.00)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,no,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
19,29-1141.00,Registered Nurses,29-1214.00,Emergency Medicine Physicians,focus_check; onet_related_occupation; skill_similarity_top20,13,0.99109,0.90815,0.359125,yes,Supplemental,12,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.5; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.97,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Anything beyond short demonstration, up to and including 1 month",high,related work experience +1.4 categories; apprenticeship importance 4.45,high,4.97,4.45,Psychology (knowledge: 4.43); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Coordination (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00),"Biology (knowledge: target 4.45, RN 3.02)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,yes,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
20,29-1141.00,Registered Nurses,29-1241.00,"Ophthalmologists, Except Pediatric",skill_similarity_top20,15,0.990782,0.926464,0.273114,no,,,4,5,1,Bachelor's Degree,Post-Doctoral Training,76.12,76.12,high,weighted education category +4.8; master's-or-higher share 76.1%; doctoral/professional/postdoctoral share 76.1%; doctoral/professional occupation pattern; professional certification importance 4.67,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years","Over 1 year, up to and including 2 years",high,related work experience +2.9 categories; apprenticeship importance 4.36,high,4.67,4.36,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Customer and Personal Service (knowledge: 4.08); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),,exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,no,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
